Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2018,U,199845,195520,395365
01/02/2018,W,507648,514174,1021822
01/03/2018,W,598578,587740,1186318
01/04/2018,W,594414,591081,1185495
01/05/2018,W,597163,572525,1169688
01/06/2018,A,372807,292077,664884
01/07/2018,U,284438,226604,511042
01/08/2018,W,755777,664263,1420040
01/09/2018,W,780104,684704,1464808
01/10/2018,W,783008,695123,1478131
01/11/2018,W,774197,695496,1469693
01/12/2018,W,730031,643915,1373946
01/13/2018,A,392644,323263,715907
01/14/2018,U,291206,245376,536582
01/15/2018,W,463868,419604,883472
01/16/2018,W,779194,710906,1490100
01/17/2018,W,787021,713680,1500701
01/18/2018,W,788150,720369,1508519
01/19/2018,W,784287,701290,1485577
01/20/2018,A,438286,449322,887608
01/21/2018,U,316648,259818,576466
01/22/2018,W,781955,711848,1493803
01/23/2018,W,795146,733662,1528808
01/24/2018,W,808026,732420,1540446
01/25/2018,W,813348,743858,1557206
01/26/2018,W,806770,722671,1529441
01/27/2018,A,455974,384419,840393
01/28/2018,U,320779,268995,589774
01/29/2018,W,774310,699889,1474199
01/30/2018,W,801986,723334,1525320
01/31/2018,W,815252,729419,1544671
02/01/2018,W,824632,724399,1549031
02/02/2018,W,706351,657689,1364040
02/03/2018,A,435554,344309,779863
02/04/2018,U,279353,232906,512259
02/05/2018,W,734272,675368,1409640
02/06/2018,W,783522,708071,1491593
02/07/2018,W,790600,714000,1504600
02/08/2018,W,782384,727764,1510148
02/09/2018,W,480347,490054,970401
02/10/2018,A,399759,351548,751307
02/11/2018,U,294675,260148,554823
02/12/2018,W,771383,692183,1463566
02/13/2018,W,832686,743502,1576188
02/14/2018,W,846174,756475,1602649
02/15/2018,W,819948,746521,1566469
02/16/2018,W,803410,725091,1528501
02/17/2018,A,438472,383764,822236
02/18/2018,U,345438,299983,645421
02/19/2018,W,569983,523621,1093604
02/20/2018,W,786356,718493,1504849
02/21/2018,W,831241,740388,1571629
02/22/2018,W,833819,743449,1577268
02/23/2018,W,820477,720769,1541246
02/24/2018,A,461537,387230,848767
02/25/2018,U,347690,292093,639783
02/26/2018,W,825842,718649,1544491
02/27/2018,W,846696,743269,1589965
02/28/2018,W,837820,736868,1574688
03/01/2018,W,807973,724095,1532068
03/02/2018,W,838965,719445,1558410
03/03/2018,A,489631,400158,889789
03/04/2018,U,360783,288394,649177
03/05/2018,W,793241,686228,1479469
03/06/2018,W,818087,723274,1541361
03/07/2018,W,829608,731992,1561600
03/08/2018,W,813217,734447,1547664
03/09/2018,W,806152,712092,1518244
03/10/2018,A,471143,394014,865157
03/11/2018,U,339755,286948,626703
03/12/2018,W,798061,715220,1513281
03/13/2018,W,808848,731938,1540786
03/14/2018,W,834401,747391,1581792
03/15/2018,W,829652,754110,1583762
03/16/2018,W,808945,738857,1547802
03/17/2018,A,471682,607823,1079505
03/18/2018,U,361391,320742,682133
03/19/2018,W,807848,709194,1517042
03/20/2018,W,808168,710058,1518226
03/21/2018,W,815911,715243,1531154
03/22/2018,W,807829,722634,1530463
03/23/2018,W,789868,699928,1489796
03/24/2018,A,424609,389468,814077
03/25/2018,U,331496,306710,638206
03/26/2018,W,685230,660176,1345406
03/27/2018,W,688138,684664,1372802
03/28/2018,W,719691,695373,1415064
03/29/2018,W,692129,686014,1378143
03/30/2018,W,672341,608535,1280876
03/31/2018,A,428294,349132,777426
04/01/2018,U,305848,238356,544204
04/02/2018,W,782016,688114,1470130
04/03/2018,W,816056,720417,1536473
04/04/2018,W,823619,738079,1561698
04/05/2018,W,817204,753661,1570865
04/06/2018,W,792532,721169,1513701
04/07/2018,A,466492,404650,871142
04/08/2018,U,335409,283411,618820
04/09/2018,W,773663,708735,1482398
04/10/2018,W,798350,748682,1547032
04/11/2018,W,849255,770269,1619524
04/12/2018,W,836193,775422,1611615
04/13/2018,W,729175,716600,1445775
04/14/2018,A,417189,374923,792112
04/15/2018,U,300857,258277,559134
04/16/2018,W,773294,704714,1478008
04/17/2018,W,830925,759128,1590053
04/18/2018,W,783296,728207,1511503
04/19/2018,W,774579,749646,1524225
04/20/2018,W,812450,735681,1548131
04/21/2018,A,455577,392721,848298
04/22/2018,U,348195,294515,642710
04/23/2018,W,810268,712596,1522864
